raw_data,timestamp
"{\"event_time\": \"2022-05-03 11:39:25.705\", \"user_id\": 627, \"video_id\": 1686520, \"watch_time\": 1.258, \"duration\": 10.3, \"watch_ratio\": 0.1221, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.609+07:00
"{\"event_time\": \"2022-04-27 13:08:48.777\", \"user_id\": 118, \"video_id\": 423236, \"watch_time\": 7.415, \"duration\": 156.2, \"watch_ratio\": 0.0475, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.620+07:00
"{\"event_time\": \"2022-04-22 03:02:10.713\", \"user_id\": 917, \"video_id\": 360112, \"watch_time\": 1.957, \"duration\": 293.68, \"watch_ratio\": 0.0067, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.692+07:00
"{\"event_time\": \"2022-05-05 15:38:56.413\", \"user_id\": 716, \"video_id\": 3425915, \"watch_time\": 1.383, \"duration\": 8.0, \"watch_ratio\": 0.1729, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.713+07:00
"{\"event_time\": \"2022-05-01 13:20:06.272\", \"user_id\": 996, \"video_id\": 2070442, \"watch_time\": 1.081, \"duration\": 53.0, \"watch_ratio\": 0.0204, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.724+07:00
"{\"event_time\": \"2022-05-02 07:06:39.065\", \"user_id\": 539, \"video_id\": 1092124, \"watch_time\": 21.737, \"duration\": 30.833, \"watch_ratio\": 0.705, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.734+07:00
"{\"event_time\": \"2022-05-07 06:03:26.745\", \"user_id\": 736, \"video_id\": 363927, \"watch_time\": 8.48, \"duration\": 7.266, \"watch_ratio\": 1.0, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.796+07:00
"{\"event_time\": \"2022-04-30 23:59:15.078\", \"user_id\": 187, \"video_id\": 393728, \"watch_time\": 10.84, \"duration\": 11.133, \"watch_ratio\": 0.9737, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.806+07:00
"{\"event_time\": \"2022-05-01 02:15:39.569\", \"user_id\": 104, \"video_id\": 4276215, \"watch_time\": 0.0, \"duration\": 198.2, \"watch_ratio\": 0.0, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.848+07:00
"{\"event_time\": \"2022-05-05 23:51:00.833\", \"user_id\": 571, \"video_id\": 2736121, \"watch_time\": 80.34, \"duration\": 186.866, \"watch_ratio\": 0.4299, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.868+07:00
"{\"event_time\": \"2022-04-23 21:52:36.440\", \"user_id\": 925, \"video_id\": 2080591, \"watch_time\": 7.273, \"duration\": 8.931, \"watch_ratio\": 0.8144, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.920+07:00
"{\"event_time\": \"2022-05-08 12:08:13.464\", \"user_id\": 904, \"video_id\": 233800, \"watch_time\": 12.902, \"duration\": 11.2, \"watch_ratio\": 1.0, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.941+07:00
"{\"event_time\": \"2022-05-05 06:17:10.738\", \"user_id\": 352, \"video_id\": 2233272, \"watch_time\": 0.0, \"duration\": 15.2, \"watch_ratio\": 0.0, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.951+07:00
"{\"event_time\": \"2022-05-04 22:38:56.535\", \"user_id\": 580, \"video_id\": 1837595, \"watch_time\": 2.768, \"duration\": 99.56, \"watch_ratio\": 0.0278, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.962+07:00
"{\"event_time\": \"2022-05-03 09:03:21.564\", \"user_id\": 999, \"video_id\": 37556, \"watch_time\": 6.827, \"duration\": 94.2, \"watch_ratio\": 0.0725, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:04.972+07:00
"{\"event_time\": \"2022-04-28 07:07:12.903\", \"user_id\": 265, \"video_id\": 349009, \"watch_time\": 1.585, \"duration\": 10.958, \"watch_ratio\": 0.1446, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.003+07:00
"{\"event_time\": \"2022-04-23 03:54:54.729\", \"user_id\": 797, \"video_id\": 1723307, \"watch_time\": 1.295, \"duration\": 249.817, \"watch_ratio\": 0.0052, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.034+07:00
"{\"event_time\": \"2022-05-06 09:52:16.727\", \"user_id\": 997, \"video_id\": 3039004, \"watch_time\": 5.609, \"duration\": 72.0, \"watch_ratio\": 0.0779, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.045+07:00
"{\"event_time\": \"2022-04-23 22:20:22.395\", \"user_id\": 567, \"video_id\": 1500846, \"watch_time\": 0.0, \"duration\": 41.833, \"watch_ratio\": 0.0, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.086+07:00
"{\"event_time\": \"2022-04-22 14:39:20.563\", \"user_id\": 492, \"video_id\": 2866756, \"watch_time\": 57.081, \"duration\": 43.5, \"watch_ratio\": 1.0, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.137+07:00
"{\"event_time\": \"2022-05-05 19:30:18.105\", \"user_id\": 954, \"video_id\": 4174300, \"watch_time\": 1.3, \"duration\": 22.566, \"watch_ratio\": 0.0576, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.148+07:00
"{\"event_time\": \"2022-04-27 08:22:32.718\", \"user_id\": 599, \"video_id\": 1226754, \"watch_time\": 0.0, \"duration\": 70.033, \"watch_ratio\": 0.0, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.189+07:00
"{\"event_time\": \"2022-05-03 11:40:56.229\", \"user_id\": 981, \"video_id\": 995895, \"watch_time\": 1.195, \"duration\": 6.066, \"watch_ratio\": 0.197, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.221+07:00
"{\"event_time\": \"2022-04-30 02:27:39.235\", \"user_id\": 13, \"video_id\": 1284339, \"watch_time\": 7.42, \"duration\": 148.414, \"watch_ratio\": 0.05, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.262+07:00
"{\"event_time\": \"2022-05-01 19:02:48.465\", \"user_id\": 447, \"video_id\": 488789, \"watch_time\": 0.0, \"duration\": 101.383, \"watch_ratio\": 0.0, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.272+07:00
"{\"event_time\": \"2022-05-02 08:55:42.354\", \"user_id\": 875, \"video_id\": 1123643, \"watch_time\": 4.614, \"duration\": 44.866, \"watch_ratio\": 0.1028, \"is_click\": 0, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.283+07:00
"{\"event_time\": \"2022-04-27 17:35:34.819\", \"user_id\": 549, \"video_id\": 1115374, \"watch_time\": 14.903, \"duration\": 19.133, \"watch_ratio\": 0.7789, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.303+07:00
"{\"event_time\": \"2022-04-24 08:08:16.394\", \"user_id\": 445, \"video_id\": 2185665, \"watch_time\": 16.232, \"duration\": 8.133, \"watch_ratio\": 1.0, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.324+07:00
"{\"event_time\": \"2022-05-01 05:34:49.458\", \"user_id\": 561, \"video_id\": 3166122, \"watch_time\": 7.482, \"duration\": 8.47, \"watch_ratio\": 0.8834, \"is_click\": 1, \"is_like\": 0, \"is_share\": 0}",2026-05-03T11:44:05.345+07:00
