event_time,user_id,video_id,watch_time,duration,watch_ratio,is_click,is_like,is_share
2022-04-28 22:05:17.661,111,4048226,2.955,61.5,0.04804878048780488,0,0,0
2022-05-03 11:56:38.492,954,1321506,0.914,71.79,0.012731578214235966,0,0,0
2022-05-03 11:39:25.705,627,1686520,1.258,10.3,0.12213592233009708,0,0,0
2022-04-27 13:08:48.777,118,423236,7.415,156.2,0.047471190781049936,1,0,0
2022-05-08 12:05:08.286,346,1569751,9.363,8.266,1.0,1,0,0
2022-04-22 03:00:31.920,527,3359124,8.695,11.9,0.730672268907563,1,0,0
2022-05-08 08:33:20.661,176,742485,0.0,17.466,0.0,0,0,0
2022-05-04 12:18:29.569,308,354697,1.377,7.883,0.1746796904731701,0,0,0
2022-05-05 03:17:15.351,830,797712,48.759,35.016,1.0,1,0,0
2022-04-25 05:56:06.479,956,2283155,5.153,7.166,0.7190901479207368,0,0,0
2022-04-22 03:02:10.713,917,360112,1.957,293.68,0.006663715608825933,0,0,0
2022-04-28 09:17:05.005,101,2839486,66.014,59.859,1.0,1,0,0
2022-05-05 15:38:56.413,716,3425915,1.383,8.0,0.172875,0,0,0
2022-05-01 13:20:06.272,996,2070442,1.081,53.0,0.02039622641509434,0,0,0
2022-05-02 07:06:39.065,539,1092124,21.737,30.833,0.7049914053124898,1,0,0
2022-04-23 17:18:44.449,447,1039073,0.0,17.9,0.0,0,0,0
2022-04-24 18:23:19.239,15,4034314,0.0,85.1,0.0,0,0,0
2022-04-23 16:02:39.012,525,86618,2.474,0.0,,0,0,0
2022-05-07 05:06:33.737,176,2020839,0.0,0.0,,0,0,0
2022-04-26 09:13:01.740,924,2277841,0.0,98.44,0.0,0,0,0
2022-05-07 06:03:26.745,736,363927,8.48,7.266,1.0,1,0,0
2022-04-30 23:59:15.078,187,393728,10.84,11.133,0.9736818467618791,1,0,0
2022-05-08 08:42:36.228,829,1262008,3.196,344.533,0.009276324764246096,0,0,0
2022-05-05 23:43:34.416,879,1294292,0.031,8.6,0.0036046511627906975,0,0,0
2022-05-02 01:49:53.505,986,4214134,5.714,46.0,0.12421739130434782,0,0,0
2022-05-01 02:15:39.569,104,4276215,0.0,198.2,0.0,0,0,0
2022-04-29 10:19:23.799,725,699080,0.979,0.0,,0,0,0
2022-05-05 23:51:00.833,571,2736121,80.34,186.866,0.4299337493176929,1,0,0
2022-05-07 03:27:58.452,594,4035771,1.25,96.9,0.012899896800825593,0,0,0
2022-05-02 23:12:03.580,407,1906828,0.0,9.683,0.0,0,0,0
2022-05-02 15:26:38.929,16,3981552,1.258,18.283,0.06880708855220696,0,0,0
2022-04-29 10:23:54.033,834,1472164,6.72,9.9,0.6787878787878788,0,0,0
2022-04-23 21:52:36.440,925,2080591,7.273,8.931,0.814354495577203,1,0,0
2022-05-01 01:37:33.469,718,476157,5.361,33.833,0.1584547631011143,0,0,0
2022-05-08 12:08:13.464,904,233800,12.902,11.2,1.0,1,0,0
2022-05-05 06:17:10.738,352,2233272,0.0,15.2,0.0,0,0,0
2022-05-04 22:38:56.535,580,1837595,2.768,99.56,0.0278023302531137,0,0,0
2022-05-03 09:03:21.564,999,37556,6.827,94.2,0.07247346072186836,0,0,0
2022-05-06 08:33:03.811,926,2808623,2.104,55.2,0.03811594202898551,0,0,0
2022-04-29 10:41:45.790,677,1361786,11.702,14.482,0.8080375638723933,1,0,0
2022-04-28 07:07:12.903,265,349009,1.585,10.958,0.14464318306260265,0,0,0
2022-04-23 23:11:16.370,958,2542741,1.321,30.42,0.04342537804076266,0,0,0
2022-04-23 02:10:49.710,68,3426006,2.087,40.716,0.05125749091266333,0,0,0
2022-04-23 03:54:54.729,797,1723307,1.295,249.817,0.005183794537601524,0,0,0
2022-05-06 09:52:16.727,997,3039004,5.609,72.0,0.07790277777777778,0,0,0
2022-05-01 23:42:14.381,575,4059293,6.722,8.0,0.84025,0,0,0
2022-05-07 11:28:47.737,672,1469266,2.076,42.166,0.049233979983873265,0,0,0
2022-05-01 04:30:27.406,123,850097,24.519,174.533,0.1404834615803315,1,0,0
2022-04-23 22:20:22.395,567,1500846,0.0,41.833,0.0,0,0,0
2022-05-04 14:16:33.040,862,354492,0.0,8.5,0.0,0,0,0
2022-05-08 14:51:39.635,325,4304366,5.604,0.0,,0,0,0
2022-04-24 11:57:51.543,80,3077525,9.615,5.52,1.0,1,0,0
2022-04-27 20:11:33.279,581,4156842,84.877,258.633,0.32817544551546013,1,0,0
2022-04-22 14:39:20.563,492,2866756,57.081,43.5,1.0,1,0,0
2022-05-05 19:30:18.105,954,4174300,1.3,22.566,0.05760879198794647,0,0,0
2022-05-04 01:16:51.706,623,3793674,1.308,64.333,0.020331711563272348,0,0,0
2022-05-06 04:42:19.003,292,2232898,12.837,75.466,0.17010309278350516,1,0,0
2022-04-29 02:30:59.317,793,2208580,1.49,24.933,0.05976015722135323,0,0,0
2022-04-27 08:22:32.718,599,1226754,0.0,70.033,0.0,0,0,0
2022-05-06 11:55:52.277,314,542099,141.449,115.431,1.0,1,0,0
2022-05-06 12:51:34.698,249,371172,37.534,7.566,1.0,1,0,0
2022-05-03 11:40:56.229,981,995895,1.195,6.066,0.19699967029343884,0,0,0
2022-04-30 07:56:56.517,323,2564503,2.382,10.966,0.21721685208827285,0,0,0
2022-05-05 02:54:24.877,338,4237267,6.007,8.083,0.743164666584189,0,0,0
2022-05-02 04:28:09.463,542,422271,4.284,15.24,0.2811023622047244,0,0,0
2022-04-30 02:27:39.235,13,1284339,7.42,148.414,0.04999528346382417,1,0,0
2022-05-01 19:02:48.465,447,488789,0.0,101.383,0.0,0,0,0
2022-05-02 08:55:42.354,875,1123643,4.614,44.866,0.10283956670975794,0,0,0
2022-04-25 14:29:07.363,997,2410571,39.89,50.166,0.7951600685723398,1,0,0
2022-04-27 17:35:34.819,549,1115374,14.903,19.133,0.7789160089897037,1,0,0
2022-05-01 15:19:04.010,967,3471455,160.759,159.766,1.0,1,0,0
2022-04-24 08:08:16.394,445,2185665,16.232,8.133,1.0,1,0,0
2022-05-04 12:08:23.981,753,2592436,70.705,71.066,0.9949202150113978,1,0,0
2022-05-01 05:34:49.458,561,3166122,7.482,8.47,0.8833530106257379,1,0,0
2022-05-02 14:32:18.218,438,1980361,3.087,101.067,0.030544094511561638,0,0,0
2022-05-06 14:06:56.727,134,2829615,19.386,18.375,1.0,1,0,0
2022-05-07 11:47:01.916,761,342697,36.636,39.583,0.9255488467271303,1,0,0
2022-04-29 15:21:22.165,455,3393590,0.0,9.75,0.0,1,0,0
2022-04-26 19:04:14.932,638,1329761,1.741,8.2,0.2123170731707317,0,0,0
2022-04-28 11:43:05.554,382,1468862,0.259,12.0,0.021583333333333333,0,0,0
2022-05-07 13:40:41.858,4,4033026,6.617,14.133,0.4681950045991651,0,0,0
2022-04-29 09:27:02.807,684,1459425,5.621,123.6,0.04547734627831715,0,0,0
2022-05-07 11:24:33.325,954,3391715,0.0,8.0,0.0,0,0,0
2022-04-22 05:26:31.895,790,1150114,105.285,11.0,1.0,1,0,0
2022-04-24 01:02:12.716,911,780807,1.132,15.041,0.07526095339405625,0,0,0
